PhoneNumber,Product
9876543285,Mouse
9876543266,Monitor
9876543257,Keyboard
9876543287,Smartphone
9876543267,Milk
9876543262,Keyboard
9876543247,Monitor
9876543292,Biscuit
9876543268,Milk
9876543242,Keyboard
9876543293,Monitor
9876543230,Detergent
9876543284,Smartphone
9876543265,Smartphone
9876543297,Mouse
9876543271,Keyboard
9876543258,USB Hub
9876543210,Milk
9876543286,Smartphone
9876543262,Biscuit
9876543282,Biscuit
9876543285,Fertilizer
9876543240,Milk
9876543301,Monitor
9876543309,Mouse
9876543289,Monitor
9876543228,Milk
9876543270,Biscuit
9876543305,Milk
9876543277,Monitor
9876543242,Fertilizer
9876543308,Hammer
9876543293,Monitor
9876543296,Monitor
9876543300,Biscuit
9876543268,Milk
9876543218,Smartphone
9876543249,Detergent
9876543210,Hammer
9876543212,Fertilizer
9876543310,Laptop
9876543217,Smartphone
9876543215,Fertilizer
9876543282,Laptop
9876543306,Hammer
9876543272,Mouse
9876543290,Laptop
9876543307,Laptop
9876543309,Fertilizer
9876543301,Laptop
9876543258,Detergent
9876543238,Milk
9876543231,Detergent
9876543273,Biscuit
9876543230,Laptop
9876543248,Monitor
9876543216,Mouse
9876543299,Detergent
9876543215,Detergent
9876543245,Mouse
9876543308,Detergent
9876543268,Fertilizer
9876543281,Hammer
9876543230,USB Hub
9876543286,Biscuit
9876543310,Smartphone
9876543255,USB Hub
9876543259,Fertilizer
9876543269,Milk
9876543308,USB Hub
9876543213,Smartphone
9876543289,Laptop
9876543254,Hammer
9876543277,Milk
9876543213,USB Hub
9876543237,Detergent
9876543298,Hammer
9876543237,Milk
9876543281,Detergent
9876543229,Keyboard
9876543229,Mouse
9876543283,USB Hub
9876543307,Keyboard
9876543252,Laptop
9876543244,Mouse
9876543233,Hammer
9876543228,Milk
9876543271,Mouse
9876543226,Smartphone
9876543261,USB Hub
9876543286,Smartphone
9876543305,Biscuit
9876543291,Detergent
9876543267,Detergent
9876543222,Smartphone
9876543291,Hammer
9876543215,Smartphone
9876543227,Keyboard
9876543238,Laptop
9876543282,Smartphone
9876543280,Mouse
9876543220,Hammer
9876543288,Keyboard
9876543227,Biscuit
9876543253,Detergent
9876543305,Laptop
9876543306,Milk
9876543233,Detergent
9876543243,Biscuit
9876543257,Mouse
9876543220,Smartphone
9876543249,Monitor
9876543271,Milk
9876543231,Keyboard
9876543211,Biscuit
9876543274,Fertilizer
9876543247,Keyboard
9876543274,Fertilizer
9876543279,Fertilizer
9876543243,Keyboard
